cell_id,lat,lon,lat_min,lon_min,land_frac
03775_01525,37.75,15.25,37.7,15.2,0.202
03785_01245,37.85,12.45,37.8,12.4,0.4026
03785_01255,37.85,12.55,37.8,12.5,1.0
03785_01265,37.85,12.65,37.8,12.6,1.0
03785_01275,37.85,12.75,37.8,12.7,1.0
03785_01285,37.85,12.85,37.8,12.8,1.0
03785_01295,37.85,12.95,37.8,12.9,1.0
03785_01305,37.85,13.05,37.8,13.0,1.0
03785_01315,37.85,13.15,37.8,13.1,1.0
03785_01325,37.85,13.25,37.8,13.2,1.0
03785_01335,37.85,13.35,37.8,13.3,1.0
03785_01345,37.85,13.45,37.8,13.4,1.0
03785_01355,37.85,13.55,37.8,13.5,1.0
03785_01365,37.85,13.65,37.8,13.6,1.0
03785_01375,37.85,13.75,37.8,13.7,1.0
03785_01385,37.85,13.85,37.8,13.8,1.0
03785_01395,37.85,13.95,37.8,13.9,1.0
03785_01405,37.85,14.05,37.8,14.0,1.0
03785_01415,37.85,14.15,37.8,14.1,1.0
03785_01425,37.85,14.25,37.8,14.2,1.0
03785_01435,37.85,14.35,37.8,14.3,1.0
03785_01445,37.85,14.45,37.8,14.4,1.0
03785_01455,37.85,14.55,37.8,14.5,1.0
03785_01465,37.85,14.65,37.8,14.6,1.0
03785_01475,37.85,14.75,37.8,14.7,1.0
03785_01485,37.85,14.85,37.8,14.8,1.0
03785_01495,37.85,14.95,37.8,14.9,1.0
03785_01505,37.85,15.05,37.8,15.0,1.0
03785_01515,37.85,15.15,37.8,15.1,1.0
03785_01525,37.85,15.25,37.8,15.2,0.8488
03795_01205,37.95,12.05,37.9,12.0,0.1265
03795_01225,37.95,12.25,37.9,12.2,0.0633
03795_01235,37.95,12.35,37.9,12.3,0.1786
03795_01245,37.95,12.45,37.9,12.4,0.1505
03795_01255,37.95,12.55,37.9,12.5,0.9941
03795_01265,37.95,12.65,37.9,12.6,1.0
03795_01275,37.95,12.75,37.9,12.7,1.0
03795_01285,37.95,12.85,37.9,12.8,1.0
03795_01295,37.95,12.95,37.9,12.9,1.0
03795_01305,37.95,13.05,37.9,13.0,1.0
03795_01315,37.95,13.15,37.9,13.1,1.0
03795_01325,37.95,13.25,37.9,13.2,1.0
03795_01335,37.95,13.35,37.9,13.3,1.0
03795_01345,37.95,13.45,37.9,13.4,1.0
03795_01355,37.95,13.55,37.9,13.5,1.0
03795_01365,37.95,13.65,37.9,13.6,0.97
03795_01375,37.95,13.75,37.9,13.7,0.7486
03795_01385,37.95,13.85,37.9,13.8,0.8843
03795_01395,37.95,13.95,37.9,13.9,1.0
03795_01405,37.95,14.05,37.9,14.0,1.0
03795_01415,37.95,14.15,37.9,14.1,1.0
