cell_id,parent_id,lat,lon,lat_min,lon_min,land_frac
037188_014562,03715_01455,37.1875,14.5625,37.175,14.55,1.0
037188_014588,03715_01455,37.1875,14.5875,37.175,14.575,1.0
037188_014712,03715_01475,37.1875,14.7125,37.175,14.7,1.0
037188_014738,03715_01475,37.1875,14.7375,37.175,14.725,1.0
037188_014762,03715_01475,37.1875,14.7625,37.175,14.75,1.0
037188_014788,03715_01475,37.1875,14.7875,37.175,14.775,1.0
037188_014812,03715_01485,37.1875,14.8125,37.175,14.8,1.0
037188_014838,03715_01485,37.1875,14.8375,37.175,14.825,1.0
037188_014862,03715_01485,37.1875,14.8625,37.175,14.85,1.0
037188_014888,03715_01485,37.1875,14.8875,37.175,14.875,1.0
037188_014912,03715_01495,37.1875,14.9125,37.175,14.9,1.0
037188_014938,03715_01495,37.1875,14.9375,37.175,14.925,1.0
037188_014962,03715_01495,37.1875,14.9625,37.175,14.95,1.0
037188_014988,03715_01495,37.1875,14.9875,37.175,14.975,1.0
037188_015012,03715_01505,37.1875,15.0125,37.175,15.0,1.0
037188_015038,03715_01505,37.1875,15.0375,37.175,15.025,1.0
037188_015062,03715_01505,37.1875,15.0625,37.175,15.05,1.0
037188_015088,03715_01505,37.1875,15.0875,37.175,15.075,1.0
037212_014212,03725_01425,37.2125,14.2125,37.2,14.2,1.0
037212_014238,03725_01425,37.2125,14.2375,37.2,14.225,1.0
037212_014262,03725_01425,37.2125,14.2625,37.2,14.25,1.0
037212_014288,03725_01425,37.2125,14.2875,37.2,14.275,1.0
037212_014312,03725_01435,37.2125,14.3125,37.2,14.3,1.0
037212_014338,03725_01435,37.2125,14.3375,37.2,14.325,1.0
037212_014362,03725_01435,37.2125,14.3625,37.2,14.35,1.0
037212_014388,03725_01435,37.2125,14.3875,37.2,14.375,1.0
037212_014412,03725_01445,37.2125,14.4125,37.2,14.4,1.0
037212_014438,03725_01445,37.2125,14.4375,37.2,14.425,1.0
037212_014462,03725_01445,37.2125,14.4625,37.2,14.45,1.0
037212_014488,03725_01445,37.2125,14.4875,37.2,14.475,1.0
037238_014212,03725_01425,37.2375,14.2125,37.225,14.2,1.0
037238_014238,03725_01425,37.2375,14.2375,37.225,14.225,1.0
037238_014262,03725_01425,37.2375,14.2625,37.225,14.25,1.0
037238_014288,03725_01425,37.2375,14.2875,37.225,14.275,1.0
037238_014312,03725_01435,37.2375,14.3125,37.225,14.3,1.0
037238_014338,03725_01435,37.2375,14.3375,37.225,14.325,1.0
037238_014362,03725_01435,37.2375,14.3625,37.225,14.35,1.0
037238_014388,03725_01435,37.2375,14.3875,37.225,14.375,1.0
037238_014412,03725_01445,37.2375,14.4125,37.225,14.4,1.0
037238_014438,03725_01445,37.2375,14.4375,37.225,14.425,1.0
037238_014462,03725_01445,37.2375,14.4625,37.225,14.45,1.0
037238_014488,03725_01445,37.2375,14.4875,37.225,14.475,1.0
037262_014212,03725_01425,37.2625,14.2125,37.25,14.2,1.0
037262_014238,03725_01425,37.2625,14.2375,37.25,14.225,1.0
037262_014262,03725_01425,37.2625,14.2625,37.25,14.25,1.0
037262_014288,03725_01425,37.2625,14.2875,37.25,14.275,1.0
037262_014312,03725_01435,37.2625,14.3125,37.25,14.3,1.0
037262_014338,03725_01435,37.2625,14.3375,37.25,14.325,1.0
037262_014362,03725_01435,37.2625,14.3625,37.25,14.35,1.0
037262_014388,03725_01435,37.2625,14.3875,37.25,14.375,1.0
037262_014412,03725_01445,37.2625,14.4125,37.25,14.4,1.0
037262_014438,03725_01445,37.2625,14.4375,37.25,14.425,1.0
037262_014462,03725_01445,37.2625,14.4625,37.25,14.45,1.0
037262_014488,03725_01445,37.2625,14.4875,37.25,14.475,1.0
037288_014212,03725_01425,37.2875,14.2125,37.275,14.2,1.0
037288_014238,03725_01425,37.2875,14.2375,37.275,14.225,1.0
037288_014262,03725_01425,37.2875,14.2625,37.275,14.25,1.0
037288_014288,03725_01425,37.2875,14.2875,37.275,14.275,1.0
037288_014312,03725_01435,37.2875,14.3125,37.275,14.3,1.0
037288_014338,03725_01435,37.2875,14.3375,37.275,14.325,1.0
037288_014362,03725_01435,37.2875,14.3625,37.275,14.35,1.0
037288_014388,03725_01435,37.2875,14.3875,37.275,14.375,1.0
037288_014412,03725_01445,37.2875,14.4125,37.275,14.4,1.0
037288_014438,03725_01445,37.2875,14.4375,37.275,14.425,1.0
037288_014462,03725_01445,37.2875,14.4625,37.275,14.45,1.0
