cell_id,lat,lon,lat_min,lon_min,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente,qualita_bosco,macroregione,idoneita_quota,idoneita_ospite,attiva
03765_01355,37.65,13.55,37.6,13.5,1.0,0.02797,0.28808,0.01592,0.0,0.0,0.05125,0.00868,9796,3252,0.33197,14400,891.6,491.5,1391.8,160.3,11.84,0.0,0.0356,0.4759,0.4556,0.0329,0.0,0.0,0.1123,0.1326,0.1619,0.1228,0.1255,0.1052,0.1355,0.1041,-0.0061,0.0553,0.9584,0.7807,appenninico,0.957,0.7471,True
03765_01445,37.65,14.45,37.6,14.4,1.0,0.0918,0.01246,0.0,0.00429,0.0,0.07791,0.00051,9793,1021,0.10426,14400,576.8,302.0,887.8,112.9,9.43,0.0,0.5549,0.4451,0.0,0.0,0.0,0.0,0.0999,0.1134,0.1388,0.1651,0.1437,0.1303,0.101,0.1079,-0.099,0.0637,0.9214,0.9701,mediterraneo,0.8723,0.8462,True
03765_01495,37.65,14.95,37.6,14.9,1.0,0.26149,0.01195,0.005,0.0,0.00827,0.05605,0.00939,9794,2727,0.27844,14400,971.1,352.1,1922.7,342.6,6.73,0.0,0.1357,0.331,0.2871,0.1893,0.0569,0.0,0.0004,0.0004,0.0019,0.0302,0.4202,0.4919,0.0534,0.0015,-0.8045,-0.3881,0.968,0.9884,appenninico,0.8609,0.8509,True
03765_01505,37.65,15.05,37.6,15.0,1.0,0.22255,0.01134,0.0,0.0,0.00419,0.04851,0.05781,9791,2290,0.23389,14400,907.5,375.7,1907.3,329.8,7.65,0.0,0.1799,0.3803,0.2376,0.1619,0.0402,0.0,0.0053,0.0247,0.217,0.4267,0.2737,0.0444,0.0049,0.0033,-0.5973,0.5086,0.9081,0.9879,appenninico,0.8565,0.8461,True
03775_01335,37.75,13.35,37.7,13.3,1.0,0.08779,0.04108,0.01298,0.04303,0.0,0.07246,0.00286,9785,1388,0.14185,14520,865.4,504.7,1449.4,179.0,11.25,0.0,0.0456,0.5668,0.34,0.0476,0.0,0.0,0.1093,0.2165,0.1562,0.1181,0.1165,0.1083,0.1051,0.0701,0.0394,0.1586,0.9713,0.923,appenninico,0.9463,0.8734,True
03775_01355,37.75,13.55,37.7,13.5,1.0,0.06892,0.04652,0.0,0.04959,0.0,0.00787,0.0,9780,1129,0.11544,14520,672.1,301.7,1186.4,174.9,9.15,0.0,0.3229,0.5876,0.0895,0.0,0.0,0.0,0.2128,0.1513,0.101,0.0952,0.0665,0.1035,0.1177,0.1519,0.2275,-0.0238,0.9542,0.8993,appenninico,0.8415,0.7568,True
03775_01445,37.75,14.45,37.7,14.4,1.0,0.10693,0.0,0.0,0.00184,0.0,0.01983,0.00307,9782,1046,0.10693,14520,680.4,408.4,999.2,116.5,9.88,0.0,0.2536,0.7309,0.0155,0.0,0.0,0.0,0.1124,0.1333,0.1282,0.1382,0.1546,0.1417,0.1139,0.0777,-0.0929,0.0513,0.9598,1.0,appenninico,0.862,0.862,True
03775_01485,37.75,14.85,37.7,14.8,1.0,0.10592,0.0,0.0,0.01513,0.0,0.22585,0.0,9781,1036,0.10592,14520,872.9,355.3,1396.8,249.4,6.59,0.0,0.1986,0.3048,0.3954,0.1012,0.0,0.0,0.0177,0.0073,0.0135,0.0094,0.0294,0.278,0.5011,0.1435,-0.1108,-0.7951,0.8822,1.0,appenninico,0.8901,0.8901,True
03775_01495,37.75,14.95,37.7,14.9,1.0,0.1143,0.03537,0.05316,0.00061,0.06134,0.02924,0.15407,9781,1984,0.20283,14520,1883.0,1144.5,3310.9,478.9,11.56,0.0,0.0,0.0,0.005,0.3313,0.3308,0.3329,0.0417,0.0074,0.0034,0.0056,0.0408,0.2952,0.3926,0.2132,-0.0516,-0.7557,0.9893,0.9433,appenninico,0.3925,0.3702,True
03775_01505,37.75,15.05,37.7,15.0,1.0,0.16977,0.04967,0.08187,0.0,0.04344,0.01053,0.02739,9784,2948,0.30131,14520,1772.9,682.7,3260.7,519.7,13.93,0.0,0.0,0.0156,0.1123,0.297,0.2747,0.3004,0.0384,0.1872,0.4262,0.2559,0.0707,0.0124,0.0011,0.008,-0.0866,0.7444,0.9929,0.9452,appenninico,0.468,0.4424,True
03775_01515,37.75,15.15,37.7,15.1,1.0,0.10788,0.0,0.0,0.0,0.0,0.02577,0.0544,9779,1055,0.10788,14520,472.2,6.8,1290.4,330.9,7.39,0.3998,0.2344,0.2382,0.1171,0.0105,0.0,0.0,0.0054,0.0934,0.5338,0.3385,0.0242,0.0048,0.0,0.0,-0.2017,0.8609,0.8327,1.0,mediterraneo,0.7064,0.7064,True
03785_01275,37.85,12.75,37.8,12.7,1.0,0.00287,0.10663,0.0,0.0,0.0,0.02684,0.0,9763,1069,0.1095,14400,333.2,141.1,747.6,123.6,7.23,0.5091,0.4532,0.0377,0.0,0.0,0.0,0.0,0.1049,0.0532,0.0606,0.1093,0.1758,0.1477,0.1628,0.1856,-0.0856,-0.2288,0.805,0.7566,mediterraneo,0.6992,0.529,True
03785_01335,37.85,13.35,37.8,13.3,1.0,0.1998,0.0,0.0,0.07721,0.0,0.06267,0.0,9765,1951,0.1998,14400,723.2,346.8,1593.6,182.8,9.82,0.0,0.2864,0.5558,0.1418,0.016,0.0,0.0,0.214,0.0766,0.0345,0.0532,0.139,0.1894,0.125,0.1683,0.0819,-0.2628,0.9419,1.0,appenninico,0.8552,0.8552,True
03785_01345,37.85,13.45,37.8,13.4,1.0,0.171,0.04861,0.01054,0.01443,0.0,0.10284,0.00481,9772,2249,0.23015,14400,694.3,311.0,1564.8,214.9,11.08,0.0,0.3801,0.4445,0.159,0.0165,0.0,0.0,0.114,0.2065,0.1611,0.1169,0.2055,0.1214,0.0268,0.0477,-0.0824,0.2531,0.9759,0.9449,appenninico,0.8234,0.778,True
03785_01375,37.85,13.75,37.8,13.7,1.0,0.09754,0.0,0.02958,0.0216,0.0,0.10276,0.0,9770,1242,0.12712,14400,461.1,75.2,1137.1,235.6,11.64,0.2912,0.4519,0.2028,0.0541,0.0,0.0,0.0,0.1994,0.1097,0.0824,0.0674,0.0767,0.1076,0.129,0.2279,0.2484,-0.1648,0.9789,0.9884,mediterraneo,0.7593,0.7505,True
03785_01385,37.85,13.85,37.8,13.8,1.0,0.11597,0.00942,0.03193,0.0782,0.0,0.1651,0.03081,9770,1537,0.15732,14400,477.1,77.0,1127.9,230.8,11.85,0.2767,0.4017,0.2772,0.0445,0.0,0.0,0.0,0.1306,0.1752,0.2033,0.0911,0.0623,0.0673,0.1203,0.1498,0.1881,0.1243,0.977,0.9749,mediterraneo,0.7698,0.7505,True
03785_01395,37.85,13.95,37.8,13.9,1.0,0.12901,0.00369,0.0,0.05631,0.0,0.14242,0.02775,9767,1296,0.1327,14400,809.8,173.8,1789.5,400.7,15.17,0.039,0.3556,0.2813,0.1038,0.1849,0.0354,0.0,0.1234,0.0921,0.0855,0.0594,0.1556,0.2031,0.1586,0.1224,-0.0671,-0.2023,0.9897,0.993,appenninico,0.7619,0.7566,True
03785_01405,37.85,14.05,37.8,14.0,1.0,0.30254,0.03632,0.03775,0.0,0.0,0.22273,0.06998,9774,3681,0.37661,14400,1303.0,544.9,1969.6,302.6,16.54,0.0,0.0006,0.0884,0.3189,0.3877,0.2044,0.0,0.0814,0.0773,0.1365,0.16,0.1356,0.1573,0.1483,0.1036,-0.1567,-0.0273,0.9942,0.9709,appenninico,0.7941,0.771,True
03785_01415,37.85,14.15,37.8,14.1,1.0,0.14654,0.0,0.07752,0.00696,0.0,0.35719,0.0,9765,2188,0.22406,14400,930.2,275.4,1650.5,287.4,14.27,0.0012,0.1408,0.323,0.3616,0.1679,0.0055,0.0,0.1206,0.1896,0.1981,0.1184,0.0798,0.0811,0.1116,0.1008,0.1077,0.1815,0.9916,0.9827,appenninico,0.8976,0.8821,True
03785_01435,37.85,14.35,37.8,14.3,1.0,0.10406,0.10109,0.04281,0.10426,0.0,0.2924,0.01249,9764,2421,0.24796,14400,932.3,344.0,1551.9,225.9,12.27,0.0,0.0764,0.3689,0.4344,0.1203,0.0,0.0,0.16,0.0874,0.0787,0.0769,0.1392,0.1984,0.1436,0.1158,-0.028,-0.1728,0.9938,0.8894,appenninico,0.933,0.8298,True
03785_01445,37.85,14.45,37.8,14.4,1.0,0.24542,0.02559,0.01136,0.14789,0.0,0.0261,0.00174,9771,2759,0.28237,14400,1043.4,582.7,1607.8,236.7,11.66,0.0,0.0024,0.3116,0.4006,0.2852,0.0002,0.0,0.0766,0.1061,0.1695,0.191,0.1568,0.1337,0.1167,0.0496,-0.2032,0.1339,0.9848,0.9753,appenninico,0.9405,0.9173,True
03785_01455,37.85,14.55,37.8,14.5,1.0,0.31377,0.02437,0.01464,0.00625,0.0,0.00717,0.00655,9765,3445,0.35278,14400,1121.5,689.2,1609.3,194.7,10.97,0.0,0.0,0.1242,0.5548,0.3208,0.0002,0.0,0.0552,0.1117,0.1272,0.1392,0.1858,0.2151,0.1014,0.0644,-0.2667,0.0042,0.9818,0.9807,appenninico,0.9455,0.9273,True
03785_01465,37.85,14.65,37.8,14.6,1.0,0.42108,0.0,0.0,0.00184,0.0,0.03163,0.01126,9770,4114,0.42108,14400,1076.4,693.5,1564.6,234.3,10.33,0.0,0.0,0.3167,0.3474,0.3359,0.0,0.0,0.0637,0.0952,0.1461,0.1597,0.1508,0.2094,0.1244,0.0508,-0.2492,0.0207,0.9631,1.0,appenninico,0.9338,0.9338,True
03785_01475,37.85,14.75,37.8,14.7,1.0,0.19992,0.0,0.0,0.08261,0.0,0.04064,0.0,9769,1953,0.19992,14400,898.3,549.5,1429.2,184.2,10.92,0.0,0.0131,0.5383,0.3733,0.0753,0.0,0.0,0.1218,0.1554,0.1405,0.1303,0.2476,0.1184,0.0272,0.0588,-0.15,0.1952,0.9412,1.0,appenninico,0.9565,0.9565,True
03785_01485,37.85,14.85,37.8,14.8,1.0,0.13945,0.0,0.0,0.02089,0.0,0.05693,0.0085,9767,1362,0.13945,14400,899.8,545.2,1337.8,136.6,7.09,0.0,0.0193,0.5263,0.4407,0.0137,0.0,0.0,0.081,0.0321,0.1031,0.0709,0.1264,0.2685,0.177,0.141,-0.1659,-0.3004,0.7242,1.0,appenninico,0.9639,0.9639,True
03785_01495,37.85,14.95,37.8,14.9,1.0,0.158,0.00788,0.00307,0.0,0.0,0.24396,0.0835,9772,1651,0.16895,14400,1087.1,588.2,2182.3,332.0,7.91,0.0,0.0026,0.3746,0.3174,0.211,0.0802,0.0142,0.3899,0.0511,0.0638,0.0713,0.0523,0.0189,0.054,0.2987,0.528,-0.1344,0.8726,0.9874,appenninico,0.8785,0.8674,True
03785_01505,37.85,15.05,37.8,15.0,1.0,0.13363,0.07229,0.00522,0.0,0.00584,0.17243,0.03584,9766,2062,0.21114,14400,1010.3,433.1,2228.0,441.3,7.93,0.0,0.1957,0.3173,0.1697,0.1833,0.1101,0.024,0.4257,0.4303,0.0709,0.0139,0.0054,0.0028,0.0025,0.0485,0.7631,0.3588,0.8667,0.9132,appenninico,0.7779,0.7104,True
03785_01515,37.85,15.15,37.8,15.1,1.0,0.16441,0.0,0.02467,0.0476,0.0,0.13032,0.01065,9768,1847,0.18908,14400,512.4,99.3,1166.4,189.2,11.21,0.1426,0.5274,0.2949,0.0351,0.0,0.0,0.0,0.0968,0.2496,0.2281,0.1165,0.0921,0.0904,0.0625,0.064,0.0825,0.3269,0.8697,0.9935,mediterraneo,0.8132,0.8079,True
03795_01335,37.95,13.35,37.9,13.3,1.0,0.09484,0.01661,0.03209,0.03435,0.0,0.0,0.01292,9753,1400,0.14354,14280,657.9,358.8,1011.4,104.5,9.63,0.0,0.2744,0.6985,0.0271,0.0,0.0,0.0,0.1169,0.1212,0.1303,0.1083,0.1841,0.1326,0.1012,0.1056,-0.0778,0.0235,0.9069,0.9599,appenninico,0.8553,0.821,True
03795_01345,37.95,13.45,37.9,13.4,1.0,0.05719,0.04018,0.02234,0.03095,0.0,0.01045,0.00594,9757,1168,0.11971,14280,478.6,127.5,991.6,171.5,10.06,0.1607,0.5903,0.2354,0.0137,0.0,0.0,0.0,0.157,0.1355,0.1511,0.1208,0.0908,0.0684,0.1058,0.1706,0.1507,0.0537,0.962,0.9068,mediterraneo,0.8102,0.7347,True
03795_01395,37.95,13.95,37.9,13.9,1.0,0.19649,0.01158,0.0,0.00871,0.0,0.07944,0.04438,9756,2030,0.20807,14280,537.0,3.5,1372.3,285.7,13.1,0.2285,0.3704,0.2796,0.114,0.0074,0.0,0.0,0.1949,0.1422,0.0639,0.0408,0.0437,0.1034,0.1998,0.2113,0.3082,-0.2383,0.9822,0.9861,mediterraneo,0.7624,0.7518,True
03795_01405,37.95,14.05,37.9,14.0,1.0,0.2581,0.01128,0.0,0.00297,0.0,0.18232,0.01313,9752,2627,0.26938,14280,669.3,97.9,1900.5,383.6,15.44,0.1184,0.4127,0.2579,0.1034,0.0628,0.0448,0.0,0.228,0.1977,0.1768,0.0959,0.0574,0.0569,0.0643,0.1229,0.2949,0.198,0.9877,0.9895,appenninico,0.6924,0.6851,True
03795_01415,37.95,14.15,37.9,14.1,1.0,0.2865,0.00471,0.033,0.00277,0.0,0.07347,0.0,9759,3164,0.32421,14280,380.4,20.1,1085.3,181.2,14.66,0.3639,0.5133,0.1113,0.0116,0.0,0.0,0.0,0.1344,0.1211,0.1253,0.0864,0.0701,0.134,0.1899,0.1387,0.0963,-0.1103,0.9793,0.9913,mediterraneo,0.7436,0.7371,True
