cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
04275_01235,42.75,12.35,14520,357.0,131.5,756.7,134.2,9.09,0.376,0.6045,0.0194,0.0,0.0,0.0,0.0,0.1213,0.1606,0.1605,0.1369,0.1077,0.0908,0.1064,0.1158,0.0536,0.117,0.9395
04275_01245,42.75,12.45,14520,265.2,137.5,500.4,63.8,7.15,0.7236,0.2764,0.0,0.0,0.0,0.0,0.0,0.0996,0.1814,0.115,0.0857,0.1092,0.1358,0.1656,0.1076,0.0363,-0.0323,0.8824
04275_01255,42.75,12.55,14641,507.1,201.0,1108.0,247.1,9.8,0.269,0.3783,0.2544,0.0982,0.0,0.0,0.0,0.0529,0.0758,0.1189,0.0877,0.0977,0.2373,0.2454,0.0842,-0.1683,-0.2425,0.8757
04275_01265,42.75,12.65,14399,429.9,256.6,1005.8,131.1,9.03,0.0471,0.8417,0.0998,0.0114,0.0,0.0,0.0,0.1228,0.1597,0.2112,0.1468,0.0973,0.0676,0.0793,0.1153,0.0714,0.2263,0.8578
04275_01275,42.75,12.75,14520,458.1,237.0,1140.0,210.7,9.09,0.3346,0.4142,0.2129,0.0384,0.0,0.0,0.0,0.1547,0.1274,0.0929,0.0709,0.0408,0.098,0.1966,0.2188,0.2454,-0.1921,0.6687
04275_01285,42.75,12.85,14520,785.0,276.5,1677.0,304.1,19.82,0.0214,0.2847,0.3573,0.2512,0.0784,0.007,0.0,0.0972,0.0783,0.1615,0.1069,0.0806,0.137,0.2101,0.1284,-0.0058,-0.1149,0.984
04275_01295,42.75,12.95,14520,944.0,391.6,1587.5,211.2,19.53,0.0,0.0626,0.3444,0.4851,0.1079,0.0,0.0,0.1088,0.1795,0.2149,0.1124,0.075,0.0784,0.155,0.076,0.0759,0.1649,0.9782
04275_01305,42.75,13.05,14520,833.1,491.3,1290.5,165.6,13.66,0.0,0.0862,0.5509,0.3565,0.0063,0.0,0.0,0.1565,0.1403,0.0756,0.0732,0.1353,0.1762,0.1266,0.1163,0.026,-0.1078,0.9093
04275_01315,42.75,13.15,14520,1125.4,591.8,1799.8,326.5,13.96,0.0,0.0014,0.3286,0.2168,0.3708,0.0824,0.0,0.1084,0.1137,0.0942,0.0445,0.0656,0.2068,0.2337,0.1331,0.0357,-0.2749,0.8266
04275_01325,42.75,13.25,14520,1178.1,624.8,1782.3,281.9,16.49,0.0,0.0,0.227,0.2569,0.4785,0.0376,0.0,0.0971,0.1033,0.168,0.2027,0.0971,0.0872,0.114,0.1307,-0.0418,0.1221,0.9625
