cell_id,lat,lon,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente
040388_016212,40.3875,16.2125,899,653.1,429.0,858.6,98.1,15.87,0.0,0.3281,0.6719,0.0,0.0,0.0,0.0,0.0,0.0101,0.2413,0.1263,0.0302,0.133,0.4112,0.048,-0.2146,-0.2061,0.9956
040388_016238,40.3875,16.2375,930,739.1,445.4,996.2,125.9,13.55,0.0,0.1559,0.7344,0.1097,0.0,0.0,0.0,0.013,0.1188,0.3121,0.2624,0.1123,0.0637,0.1058,0.0119,-0.2426,0.4317,0.9957
040388_016262,40.3875,16.2625,930,429.6,314.8,636.3,71.5,9.31,0.0,0.9796,0.0204,0.0,0.0,0.0,0.0,0.045,0.2058,0.2857,0.2171,0.1372,0.0855,0.0214,0.0022,-0.1656,0.5171,0.9559
040388_016288,40.3875,16.2875,930,441.8,289.0,564.1,69.6,8.64,0.0118,0.9882,0.0,0.0,0.0,0.0,0.0,0.0091,0.0809,0.1378,0.0752,0.1241,0.3679,0.1617,0.0433,-0.3414,-0.2127,0.9441
040388_016312,40.3875,16.3125,961,420.5,274.6,580.0,68.4,7.99,0.0208,0.9792,0.0,0.0,0.0,0.0,0.0,0.0171,0.2034,0.3876,0.1178,0.0514,0.152,0.0557,0.015,-0.0806,0.4529,0.9719
040388_016337,40.3875,16.3375,899,277.3,192.5,398.3,40.2,5.67,0.6719,0.3281,0.0,0.0,0.0,0.0,0.0,0.2194,0.2705,0.1884,0.1184,0.0485,0.0269,0.0471,0.0808,0.3264,0.3435,0.8265
040388_016362,40.3875,16.3625,930,230.7,146.5,368.2,53.1,5.71,0.8591,0.1409,0.0,0.0,0.0,0.0,0.0,0.2696,0.3041,0.0956,0.081,0.0544,0.0199,0.0518,0.1235,0.4607,0.2201,0.8097
040388_016388,40.3875,16.3875,930,186.9,118.1,311.3,35.7,6.13,0.9946,0.0054,0.0,0.0,0.0,0.0,0.0,0.2077,0.1323,0.1508,0.0606,0.0025,0.0507,0.2089,0.1867,0.3744,-0.1087,0.8699
040388_016512,40.3875,16.5125,930,84.2,52.5,125.3,13.0,2.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057,0.1048,0.238,0.1105,0.0878,0.2068,0.1898,0.0567,-0.1974,0.0213,0.3796
040388_016538,40.3875,16.5375,930,133.7,70.0,367.9,54.0,7.23,0.9806,0.0194,0.0,0.0,0.0,0.0,0.0,0.07,0.0185,0.0462,0.0806,0.0819,0.1757,0.358,0.1691,-0.0528,-0.4939,0.814
040388_016562,40.3875,16.5625,961,219.1,89.5,389.3,78.3,10.87,0.7929,0.2071,0.0,0.0,0.0,0.0,0.0,0.2015,0.1458,0.0718,0.1672,0.194,0.1158,0.0386,0.0654,-0.0542,0.1297,0.9709
040388_016588,40.3875,16.5875,899,184.8,62.2,279.3,59.7,9.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.2197,0.0911,0.0549,0.1074,0.0574,0.1311,0.1124,0.2878,0.0226,0.891
040388_016612,40.3875,16.6125,930,173.6,34.4,244.4,50.5,8.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2135,0.2946,0.1573,0.0537,0.1236,0.1174,0.02,0.02,0.1857,0.3051,0.8613
040388_016638,40.3875,16.6375,930,109.4,22.1,198.1,60.9,5.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2291,0.2913,0.165,0.0893,0.0602,0.068,0.0117,0.0854,0.3557,0.3134,0.5538
040388_016662,40.3875,16.6625,930,58.8,17.3,147.4,42.4,4.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2387,0.1689,0.1892,0.2162,0.0428,0.0158,0.0023,0.1261,0.2623,0.3873,0.4774
040388_016688,40.3875,16.6875,961,40.4,13.9,125.3,31.7,3.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2438,0.1219,0.1594,0.0406,0.0531,0.0188,0.025,0.3375,0.431,-0.0282,0.333
040412_008912,40.4125,8.9125,900,727.9,511.3,836.8,65.1,7.5,0.0,0.0622,0.9378,0.0,0.0,0.0,0.0,0.0628,0.0342,0.0874,0.0642,0.0096,0.0451,0.3087,0.388,0.2772,-0.4684,0.8133
