cell_id,parent_id,lat,lon,lat_min,lon_min,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac,dem_px,quota_media,quota_min,quota_max,quota_sd,pendenza_media,q_000_300,q_300_600,q_600_900,q_900_1200,q_1200_1600,q_1600_2000,q_2000_su,esp_n,esp_ne,esp_e,esp_se,esp_s,esp_so,esp_o,esp_no,northness,eastness,frac_pendente,quota_padre,delta_quota,qualita_bosco,macroregione,idoneita_quota,idoneita_ospite,attiva
036962_014762,03695_01475,36.9625,14.7625,36.95,14.75,1.0,0.0,0.12235,0.0,0.03752,0.0,0.0,0.0,613,75,0.12235,900,403.9,313.6,504.6,41.6,9.21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0926,0.2173,0.2012,0.0778,0.0815,0.1519,0.1383,-0.0712,0.1316,0.9,524.3,-120.4,0.75,mediterraneo,0.85,0.6375,True
036962_014788,03695_01475,36.9625,14.7875,36.95,14.775,1.0,0.0,0.14125,0.0,0.0,0.0,0.0,0.0626,623,88,0.14125,900,512.4,356.0,591.5,57.6,7.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1007,0.0284,0.0071,0.0695,0.095,0.1206,0.2014,0.3773,0.1612,-0.4906,0.7833,524.3,-11.9,0.75,mediterraneo,0.85,0.6375,True
036988_014712,03695_01475,36.9875,14.7125,36.975,14.7,1.0,0.0,0.05682,0.0,0.0,0.0,0.05357,0.0,616,35,0.05682,900,721.8,569.6,829.7,46.4,7.37,0.0,0.0067,0.9933,0.0,0.0,0.0,0.0,0.0,0.0206,0.0556,0.5816,0.0713,0.0375,0.1137,0.1197,-0.4266,0.2328,0.9189,524.3,197.5,0.75,appenninico,0.9477,0.7108,False
036988_014738,03695_01475,36.9875,14.7375,36.975,14.725,1.0,0.0,0.47642,0.0,0.0,0.0,0.0,0.0,615,293,0.47642,900,606.5,423.2,773.5,71.9,10.34,0.0,0.4444,0.5556,0.0,0.0,0.0,0.0,0.0431,0.0931,0.3027,0.2515,0.1397,0.1083,0.0582,0.0035,-0.3034,0.4206,0.9544,524.3,82.2,0.75,appenninico,0.7945,0.5959,True
036988_014762,03695_01475,36.9875,14.7625,36.975,14.75,1.0,0.0,0.0628,0.0,0.0,0.0,0.0,0.0,621,39,0.0628,900,484.4,376.0,612.7,66.6,7.83,0.0,0.9656,0.0344,0.0,0.0,0.0,0.0,0.0253,0.1025,0.2734,0.2759,0.1557,0.1329,0.0291,0.0051,-0.3565,0.4179,0.8778,524.3,-39.9,0.75,mediterraneo,0.8517,0.6388,False
036988_014788,03695_01475,36.9875,14.7875,36.975,14.775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00653,613,0,0.0,900,446.1,376.0,571.1,56.7,8.08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1056,0.0274,0.0991,0.0678,0.103,0.1708,0.2777,0.1486,-0.0425,-0.3537,0.8522,524.3,-78.2,0.0,mediterraneo,0.85,0.0,False
037012_014412,03705_01445,37.0125,14.4125,37.0,14.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00812,616,0,0.0,930,61.9,18.6,117.9,31.5,3.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193,0.1689,0.0263,0.0,0.0022,0.1009,0.3531,0.1557,0.3551,-0.3964,0.4903,142.9,-81.0,0.0,mediterraneo,0.55,0.0,False
037012_014438,03705_01445,37.0125,14.4375,37.0,14.425,1.0,0.0,0.0,0.0,0.0,0.0,0.01621,0.0859,617,0,0.0,930,100.5,33.3,152.9,41.0,3.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4124,0.0481,0.0,0.0172,0.1203,0.0653,0.1237,0.2131,0.4306,-0.3038,0.3129,142.9,-42.4,0.0,mediterraneo,0.55,0.0,False
037012_014462,03705_01445,37.0125,14.4625,37.0,14.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161,621,0,0.0,930,141.6,46.5,187.6,38.3,3.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5685,0.0249,0.0,0.0,0.0,0.0,0.0664,0.3402,0.8515,-0.3149,0.2591,142.9,-1.3,0.0,mediterraneo,0.55,0.0,False
037012_014488,03705_01445,37.0125,14.4875,37.0,14.475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611,0,0.0,930,186.1,97.8,210.3,13.5,1.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4231,0.0,0.0,0.0,0.0,0.0,0.0897,0.4872,0.8234,-0.4564,0.0839,142.9,43.2,0.0,mediterraneo,0.55,0.0,False
037012_014712,03705_01475,37.0125,14.7125,37.0,14.7,1.0,0.0,0.08239,0.0,0.0,0.0,0.0,0.11309,619,51,0.08239,930,798.5,625.8,895.2,53.7,8.26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0833,0.0253,0.1364,0.1944,0.0455,0.0833,0.3371,0.0947,-0.0713,-0.1766,0.8516,646.0,152.5,0.75,appenninico,0.95,0.7125,False
037012_014738,03705_01475,37.0125,14.7375,37.0,14.725,1.0,0.0,0.21809,0.0,0.0,0.0,0.0,0.0,619,135,0.21809,930,746.2,595.1,845.3,56.5,8.52,0.0,0.0022,0.9978,0.0,0.0,0.0,0.0,0.0057,0.0974,0.3443,0.2367,0.0929,0.1314,0.0872,0.0045,-0.3053,0.4143,0.9495,646.0,100.2,0.75,appenninico,0.9492,0.7119,True
037012_014762,03705_01475,37.0125,14.7625,37.0,14.75,1.0,0.0,0.65635,0.0,0.0,0.0,0.0,0.0,614,403,0.65635,930,595.9,410.7,775.1,71.6,10.2,0.0,0.5538,0.4462,0.0,0.0,0.0,0.0,0.0256,0.1224,0.3459,0.2614,0.0901,0.0723,0.0768,0.0056,-0.2102,0.5001,0.9667,646.0,-50.1,0.75,mediterraneo,0.8723,0.6542,True
037012_014788,03705_01475,37.0125,14.7875,37.0,14.775,1.0,0.0,0.07085,0.0,0.0,0.0,0.0,0.0,621,44,0.07085,930,453.2,390.1,548.9,28.2,6.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0456,0.0514,0.1712,0.1769,0.0685,0.0428,0.2767,0.1669,0.0018,-0.081,0.7538,646.0,-192.8,0.75,mediterraneo,0.85,0.6375,False
037012_014912,03705_01495,37.0125,14.9125,37.0,14.9,1.0,0.16854,0.0,0.0,0.0,0.0,0.03852,0.0,623,105,0.16854,930,545.2,330.9,689.9,100.5,9.92,0.0,0.6054,0.3946,0.0,0.0,0.0,0.0,0.0112,0.0,0.0084,0.0532,0.2283,0.2647,0.2549,0.1793,-0.3308,-0.5394,0.7677,566.3,-21.1,1.0,mediterraneo,0.8697,0.8697,True
037012_014938,03705_01495,37.0125,14.9375,37.0,14.925,1.0,0.04405,0.0,0.0,0.0,0.0,0.0,0.0,613,27,0.04405,930,644.1,597.3,672.7,10.5,2.41,0.0,0.0011,0.9989,0.0,0.0,0.0,0.0,0.2311,0.1793,0.1275,0.0319,0.0598,0.2072,0.0598,0.1036,0.2126,-0.0027,0.2699,566.3,77.8,1.0,appenninico,0.9496,0.9496,False
037012_014962,03705_01495,37.0125,14.9625,37.0,14.95,1.0,0.0,0.0,0.0,0.0,0.0,0.08401,0.0,619,0,0.0,930,612.9,540.4,669.8,26.2,3.28,0.0,0.3376,0.6624,0.0,0.0,0.0,0.0,0.0618,0.3501,0.3158,0.1053,0.1304,0.0343,0.0023,0.0,0.0721,0.6264,0.4699,566.3,46.6,0.0,appenninico,0.8318,0.0,False
037012_014988,03705_01495,37.0125,14.9875,37.0,14.975,1.0,0.0,0.0,0.0,0.0,0.0,0.06462,0.0,619,0,0.0,930,513.3,449.3,580.8,36.4,3.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0965,0.2246,0.3527,0.2812,0.0166,0.0,0.0017,0.0266,0.0607,0.7074,0.6462,566.3,-53.0,0.0,mediterraneo,0.85,0.0,False
037012_015012,03705_01505,37.0125,15.0125,37.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12866,0.0,614,0,0.0,900,464.6,421.9,532.7,22.2,2.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0397,0.1388,0.034,0.0708,0.0963,0.4901,0.1133,0.017,-0.3373,-0.2814,0.3922,425.7,38.9,0.0,mediterraneo,0.85,0.0,False
037012_015038,03705_01505,37.0125,15.0375,37.0,15.025,1.0,0.00161,0.0,0.0,0.0,0.0,0.15298,0.0,621,1,0.00161,900,476.2,413.1,532.3,24.4,4.38,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.1655,0.1376,0.1446,0.1829,0.2003,0.0575,0.0174,-0.2006,0.1546,0.6378,425.7,50.5,1.0,mediterraneo,0.85,0.85,False
037012_015062,03705_01505,37.0125,15.0625,37.0,15.05,1.0,0.2557,0.0,0.0,0.06352,0.0,0.0,0.0,614,157,0.2557,900,431.4,342.7,494.2,26.4,4.29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1294,0.3236,0.1602,0.1359,0.1343,0.0437,0.0324,0.0405,0.1311,0.3982,0.6867,425.7,5.7,1.0,mediterraneo,0.85,0.85,True
037012_015088,03705_01505,37.0125,15.0875,37.0,15.075,1.0,0.30519,0.0,0.0,0.0,0.0,0.08604,0.0,616,188,0.30519,900,346.0,245.2,430.9,36.0,6.41,0.1011,0.8989,0.0,0.0,0.0,0.0,0.0,0.171,0.4166,0.1186,0.08,0.1586,0.0359,0.0014,0.0179,0.2431,0.4313,0.8056,425.7,-79.7,1.0,mediterraneo,0.8197,0.8197,True
037038_014412,03705_01445,37.0375,14.4125,37.025,14.4,1.0,0.0,0.0,0.0,0.0,0.0,0.19225,0.0,619,0,0.0,900,79.4,22.2,151.3,42.9,4.84,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.0131,0.0507,0.2101,0.2402,0.1445,0.0807,0.2101,-0.2966,-0.1381,0.5922,142.9,-63.5,0.0,mediterraneo,0.55,0.0,False
037038_014438,03705_01445,37.0375,14.4375,37.025,14.425,1.0,0.0,0.0,0.0,0.0,0.0,0.33766,0.0,616,0,0.0,900,80.8,34.8,180.3,42.9,5.79,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1412,0.0019,0.0687,0.2023,0.1489,0.042,0.0458,0.3492,0.0669,-0.0985,0.5822,142.9,-62.1,0.0,mediterraneo,0.55,0.0,False
037038_014462,03705_01445,37.0375,14.4625,37.025,14.45,1.0,0.0,0.0,0.03589,0.0,0.0,0.38662,0.0,613,22,0.03589,900,124.9,47.6,216.7,59.1,5.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662,0.017,0.0189,0.0964,0.4083,0.138,0.1418,0.1134,-0.4052,-0.1987,0.5878,142.9,-18.0,0.95,mediterraneo,0.55,0.5225,False
037038_014488,03705_01445,37.0375,14.4875,37.025,14.475,1.0,0.0,0.0,0.0,0.0,0.0,0.2592,0.0,625,0,0.0,900,146.1,59.2,222.9,55.0,6.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1649,0.0189,0.0481,0.1564,0.2732,0.0636,0.0481,0.2268,-0.0938,-0.081,0.6467,142.9,3.2,0.0,mediterraneo,0.55,0.0,False
037038_014712,03705_01475,37.0375,14.7125,37.025,14.7,1.0,0.0,0.61951,0.0,0.0,0.0,0.0,0.00163,615,381,0.61951,900,692.3,486.1,901.7,113.0,11.69,0.0,0.24,0.7589,0.0011,0.0,0.0,0.0,0.1384,0.0652,0.0309,0.0435,0.0195,0.127,0.3043,0.2712,0.2473,-0.4912,0.9711,646.0,46.3,0.75,appenninico,0.8661,0.6496,True
037038_014738,03705_01475,37.0375,14.7375,37.025,14.725,1.0,0.0,0.14309,0.0,0.0,0.0,0.0,0.0,615,88,0.14309,900,762.7,668.0,851.2,39.0,6.66,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0546,0.1834,0.2263,0.0884,0.0676,0.0403,0.1977,0.1417,0.1454,0.0857,0.8544,646.0,116.7,0.75,appenninico,0.95,0.7125,True
037038_014762,03705_01475,37.0375,14.7625,37.025,14.75,1.0,0.0,0.63242,0.0,0.0,0.0,0.02247,0.0,623,394,0.63242,900,683.4,489.0,802.8,74.7,10.2,0.0,0.1589,0.8411,0.0,0.0,0.0,0.0,0.0517,0.1816,0.2931,0.2345,0.1092,0.0667,0.0103,0.0529,-0.1139,0.5143,0.9667,646.0,37.4,0.75,appenninico,0.8944,0.6708,True
037038_014788,03705_01475,37.0375,14.7875,37.025,14.775,1.0,0.0,0.11601,0.0,0.0,0.0,0.03595,0.0,612,71,0.11601,900,523.3,437.7,665.8,54.5,6.28,0.0,0.8789,0.1211,0.0,0.0,0.0,0.0,0.033,0.0659,0.2321,0.3496,0.1404,0.0817,0.0774,0.0201,-0.354,0.3974,0.7756,646.0,-122.7,0.75,mediterraneo,0.8561,0.6421,True
037038_014912,03705_01495,37.0375,14.9125,37.025,14.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612,0,0.0,900,663.3,567.4,737.7,24.3,3.58,0.0,0.0067,0.9933,0.0,0.0,0.0,0.0,0.102,0.2363,0.2761,0.2239,0.0995,0.0149,0.0124,0.0348,0.0283,0.5741,0.4467,566.3,97.0,0.0,appenninico,0.9477,0.0,False
037038_014938,03705_01495,37.0375,14.9375,37.025,14.925,1.0,0.3,0.0,0.0,0.0,0.0,0.05806,0.0,620,186,0.3,900,594.9,537.1,652.8,28.8,3.49,0.0,0.4922,0.5078,0.0,0.0,0.0,0.0,0.2241,0.2047,0.2198,0.2004,0.0647,0.0194,0.0,0.0668,0.2148,0.4839,0.5156,566.3,28.6,1.0,mediterraneo,0.8754,0.8754,True
037038_014962,03705_01495,37.0375,14.9625,37.025,14.95,1.0,0.03079,0.0,0.0,0.0,0.0,0.12156,0.0,617,19,0.03079,900,533.2,488.0,633.8,28.1,3.68,0.0,0.97,0.03,0.0,0.0,0.0,0.0,0.2564,0.3513,0.0359,0.1256,0.2103,0.0077,0.0,0.0128,0.2185,0.3743,0.4333,566.3,-33.1,1.0,mediterraneo,0.8515,0.8515,False
037038_014988,03705_01495,37.0375,14.9875,37.025,14.975,1.0,0.21661,0.0,0.0,0.0,0.0,0.22313,0.0,614,133,0.21661,900,502.4,450.1,568.2,21.0,4.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1853,0.1028,0.0661,0.1431,0.2716,0.156,0.0275,0.0477,-0.2017,0.0576,0.6056,566.3,-63.9,1.0,mediterraneo,0.85,0.85,True
037038_015012,03705_01505,37.0375,15.0125,37.025,15.0,1.0,0.33011,0.0,0.0,0.0,0.0,0.00966,0.0,621,205,0.33011,900,485.1,401.9,569.5,39.9,5.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2357,0.1341,0.0709,0.1649,0.2357,0.1202,0.0,0.0385,-0.0818,0.2065,0.7211,425.7,59.4,1.0,mediterraneo,0.85,0.85,True
037038_015038,03705_01505,37.0375,15.0375,37.025,15.025,1.0,0.28943,0.0,0.0,0.02602,0.0,0.00976,0.0,615,178,0.28943,900,425.9,331.3,519.4,43.0,5.22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2779,0.2258,0.1288,0.0868,0.1245,0.0883,0.0188,0.0492,0.2257,0.242,0.7678,425.7,0.2,1.0,mediterraneo,0.85,0.85,True
037038_015062,03705_01505,37.0375,15.0625,37.025,15.05,1.0,0.0,0.0,0.0,0.0,0.0,0.20779,0.0,616,0,0.0,900,364.6,251.7,487.4,44.3,5.27,0.05,0.95,0.0,0.0,0.0,0.0,0.0,0.0694,0.4626,0.0857,0.166,0.1497,0.0612,0.0014,0.0041,0.0896,0.4902,0.8167,425.7,-61.1,0.0,mediterraneo,0.835,0.0,False
037038_015088,03705_01505,37.0375,15.0875,37.025,15.075,1.0,0.0,0.0,0.0,0.0,0.0,0.16505,0.0,618,0,0.0,900,298.1,214.9,355.5,29.2,4.13,0.4578,0.5422,0.0,0.0,0.0,0.0,0.0,0.2043,0.1501,0.0669,0.0579,0.4087,0.094,0.0,0.0181,-0.1935,0.1487,0.6144,425.7,-127.6,0.0,mediterraneo,0.7127,0.0,False
037062_014412,03705_01445,37.0625,14.4125,37.05,14.4,1.0,0.0,0.0,0.0,0.04568,0.0,0.06852,0.0,613,0,0.0,870,146.5,90.4,196.6,21.5,3.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259,0.0142,0.1274,0.1958,0.2075,0.2453,0.1132,0.0708,-0.4316,-0.0647,0.4874,142.9,3.6,0.0,mediterraneo,0.55,0.0,False
037062_014438,03705_01445,37.0625,14.4375,37.05,14.425,1.0,0.0,0.08401,0.0,0.00323,0.0,0.12439,0.0,619,52,0.08401,870,122.4,45.1,206.2,49.3,6.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0239,0.0444,0.2479,0.2444,0.1983,0.1026,0.0957,0.0427,-0.3764,0.2602,0.6724,142.9,-20.5,0.75,mediterraneo,0.55,0.4125,False
037062_014462,03705_01445,37.0625,14.4625,37.05,14.45,1.0,0.01616,0.0,0.71082,0.0,0.0,0.00323,0.0,619,450,0.72698,870,138.7,52.6,234.0,64.4,6.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1211,0.0649,0.0035,0.0,0.0053,0.0895,0.4684,0.2474,0.2669,-0.659,0.6552,142.9,-4.2,0.9511,mediterraneo,0.55,0.5231,True
037062_014488,03705_01445,37.0625,14.4875,37.05,14.475,1.0,0.0,0.0,0.17676,0.0,0.0,0.06874,0.0,611,108,0.17676,870,209.3,95.1,248.2,30.2,3.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.0593,0.0296,0.0074,0.0333,0.0185,0.0259,0.2889,0.7404,-0.1693,0.3103,142.9,66.4,0.95,mediterraneo,0.55,0.5225,True
037062_014712,03705_01475,37.0625,14.7125,37.05,14.7,1.0,0.0,0.5316,0.0,0.01135,0.0,0.0,0.0,617,328,0.5316,870,562.9,451.7,767.2,66.9,7.99,0.0,0.7,0.3,0.0,0.0,0.0,0.0,0.0548,0.0024,0.0298,0.025,0.0429,0.1643,0.4321,0.2488,0.0331,-0.6913,0.9655,646.0,-83.1,0.75,mediterraneo,0.865,0.6487,True
037062_014738,03705_01475,37.0625,14.7375,37.05,14.725,1.0,0.0,0.6371,0.0,0.0,0.0,0.0,0.01774,620,395,0.6371,870,713.4,577.7,833.2,56.9,10.84,0.0,0.0356,0.9644,0.0,0.0,0.0,0.0,0.0757,0.0553,0.2933,0.0986,0.0276,0.1034,0.1827,0.1635,0.0556,0.0336,0.9563,646.0,67.4,0.75,appenninico,0.9375,0.7031,True
037062_014762,03705_01475,37.0625,14.7625,37.05,14.75,1.0,0.0,0.17455,0.0,0.0,0.0,0.54976,0.04078,613,107,0.17455,870,643.5,541.7,757.9,51.9,7.23,0.0,0.2747,0.7253,0.0,0.0,0.0,0.0,0.2044,0.2253,0.1641,0.0729,0.0638,0.0573,0.0977,0.1146,0.2822,0.1682,0.8828,646.0,-2.5,0.75,appenninico,0.8539,0.6404,True
037062_014788,03705_01475,37.0625,14.7875,37.05,14.775,1.0,0.0,0.0,0.0,0.0,0.0,0.25563,0.0,622,0,0.0,870,618.3,519.0,714.4,41.0,6.34,0.0,0.3299,0.6701,0.0,0.0,0.0,0.0,0.0177,0.0923,0.153,0.1707,0.2402,0.2137,0.0847,0.0278,-0.4205,0.0913,0.9092,646.0,-27.7,0.0,appenninico,0.8345,0.0,False
037062_014912,03705_01495,37.0625,14.9125,37.05,14.9,1.0,0.18035,0.0,0.0,0.0,0.0,0.0,0.0,621,112,0.18035,870,613.4,454.2,739.0,50.3,7.05,0.0,0.2862,0.7138,0.0,0.0,0.0,0.0,0.2106,0.2092,0.1869,0.1688,0.0656,0.0042,0.0,0.1548,0.2948,0.3439,0.8241,566.3,47.1,1.0,appenninico,0.8498,0.8498,True
037062_014938,03705_01495,37.0625,14.9375,37.05,14.925,1.0,0.24838,0.0,0.0,0.0,0.0,0.0,0.0,616,153,0.24838,870,552.9,433.0,638.6,40.0,5.63,0.0,0.9356,0.0644,0.0,0.0,0.0,0.0,0.2551,0.1395,0.1667,0.1565,0.0323,0.0,0.0476,0.2024,0.3691,0.1902,0.6759,566.3,-13.4,1.0,mediterraneo,0.8532,0.8532,True
037062_014962,03705_01495,37.0625,14.9625,37.05,14.95,1.0,0.02927,0.0,0.0,0.0,0.0,0.04715,0.0,615,18,0.02927,870,557.5,471.2,604.8,30.4,3.37,0.0,0.9793,0.0207,0.0,0.0,0.0,0.0,0.3123,0.1362,0.0465,0.0731,0.0897,0.0266,0.0133,0.3023,0.4838,-0.0439,0.346,566.3,-8.8,1.0,mediterraneo,0.851,0.851,False
037062_014988,03705_01495,37.0625,14.9875,37.05,14.975,1.0,0.17286,0.0,0.0,0.0,0.0,0.15509,0.0,619,107,0.17286,870,555.9,487.5,619.6,16.5,3.29,0.0,0.9931,0.0069,0.0,0.0,0.0,0.0,0.0854,0.1818,0.124,0.0358,0.1901,0.2617,0.0551,0.0661,-0.1732,0.0067,0.4172,566.3,-10.4,1.0,mediterraneo,0.8503,0.8503,True
037062_015012,03705_01505,37.0625,15.0125,37.05,15.0,1.0,0.35065,0.0,0.0,0.0,0.0,0.17045,0.0,616,216,0.35065,870,537.0,407.7,633.1,43.3,6.13,0.0,0.9471,0.0529,0.0,0.0,0.0,0.0,0.0837,0.2312,0.105,0.1376,0.2085,0.2014,0.0184,0.0142,-0.2022,0.1955,0.8103,425.7,111.3,1.0,mediterraneo,0.8526,0.8526,True
037062_015038,03705_01505,37.0625,15.0375,37.05,15.025,1.0,0.21359,0.0,0.0,0.06149,0.0,0.03722,0.0,618,132,0.21359,870,487.9,380.1,581.8,37.6,4.58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0507,0.1132,0.1622,0.2973,0.2483,0.0946,0.0287,0.0051,-0.4004,0.3777,0.6805,425.7,62.2,1.0,mediterraneo,0.85,0.85,True
037062_015062,03705_01505,37.0625,15.0625,37.05,15.05,1.0,0.33929,0.0,0.0,0.0,0.0,0.03896,0.0,616,209,0.33929,870,416.0,308.3,477.3,31.7,4.46,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0929,0.1463,0.1635,0.401,0.1583,0.0207,0.0,0.0172,-0.2738,0.5167,0.6678,425.7,-9.7,1.0,mediterraneo,0.85,0.85,True
037062_015088,03705_01505,37.0625,15.0875,37.05,15.075,1.0,0.22006,0.0,0.0,0.0,0.0,0.01618,0.0,618,136,0.22006,870,303.3,190.0,399.4,51.1,6.3,0.4782,0.5218,0.0,0.0,0.0,0.0,0.0,0.0623,0.3815,0.1974,0.2132,0.1311,0.004,0.0,0.0106,0.046,0.6124,0.8678,425.7,-122.4,1.0,mediterraneo,0.7065,0.7065,True
