cell_id,parent_id,lat_min,lon_min,quota_media,delta_quota,bosco_frac,northness,idoneita_ospite,macroregione
040162_016488,04015_01645,40.15,16.475,436.9,41.6,0.61421,0.5369,0.8182,mediterraneo
040188_008512,04015_00855,40.175,8.5,177.6,-225.1,0.27257,0.1441,0.537,mediterraneo
040188_008538,04015_00855,40.175,8.525,255.3,-147.4,0.18792,0.4949,0.5852,mediterraneo
040188_008588,04015_00855,40.175,8.575,577.4,174.7,0.72831,0.2578,0.8694,mediterraneo
040188_008612,04015_00865,40.175,8.6,734.0,114.4,0.89217,0.4537,0.8987,appenninico
040188_008638,04015_00865,40.175,8.625,731.8,112.2,0.67282,0.363,0.95,appenninico
040188_008662,04015_00865,40.175,8.65,727.2,107.6,0.35,0.0307,0.9477,appenninico
040188_008962,04015_00895,40.175,8.95,159.9,-66.3,0.11526,0.3495,0.5544,mediterraneo
040188_008988,04015_00895,40.175,8.975,204.3,-21.9,0.16872,0.4118,0.5636,mediterraneo
040188_009088,04015_00905,40.175,9.075,365.3,-11.5,0.28956,-0.4466,0.8256,mediterraneo
040188_009162,04015_00915,40.175,9.15,761.6,144.5,0.86689,-0.0065,0.8937,appenninico
040188_009188,04015_00915,40.175,9.175,868.8,251.7,0.35273,-0.1527,0.9666,appenninico
040188_009212,04015_00925,40.175,9.2,906.5,35.4,0.6425,-0.1751,0.9776,appenninico
040188_009238,04015_00925,40.175,9.225,979.6,108.5,0.60034,-0.147,0.995,appenninico
040188_009262,04015_00925,40.175,9.25,883.7,12.6,0.13926,-0.2154,0.9645,appenninico
040188_009288,04015_00925,40.175,9.275,833.0,-38.1,0.23569,0.3773,0.9501,appenninico
040188_009312,04015_00935,40.175,9.3,885.6,-65.8,0.79541,0.1932,0.9708,appenninico
040188_009338,04015_00935,40.175,9.325,901.5,-49.9,0.88013,0.3734,0.9621,appenninico
040188_009362,04015_00935,40.175,9.35,811.1,-140.3,0.69558,0.4031,0.8674,appenninico
040188_009388,04015_00935,40.175,9.375,703.2,-248.2,0.66105,0.1481,0.7525,appenninico
040188_009412,04015_00945,40.175,9.4,684.6,-269.2,0.85832,0.0468,0.7394,appenninico
040188_009438,04015_00945,40.175,9.425,995.7,41.9,0.75838,0.1869,0.9452,appenninico
040188_009462,04015_00945,40.175,9.45,1038.4,84.6,0.52357,-0.2013,0.9957,appenninico
040188_009488,04015_00945,40.175,9.475,813.4,-140.4,0.59622,-0.1442,0.9223,appenninico
040188_009512,04015_00955,40.175,9.5,526.5,-209.9,0.67063,0.1826,0.8383,mediterraneo
040188_009538,04015_00955,40.175,9.525,789.0,52.6,0.52521,0.0668,0.913,appenninico
040188_009562,04015_00955,40.175,9.55,475.9,-260.5,0.93707,-0.0825,0.7997,mediterraneo
040188_009588,04015_00955,40.175,9.575,567.8,-168.6,0.10065,0.4105,0.8408,mediterraneo
040188_009612,04015_00965,40.175,9.6,483.6,241.4,0.23726,-0.0466,0.8338,mediterraneo
040188_009638,04015_00965,40.175,9.625,44.7,-197.5,0.1164,0.1723,0.5593,mediterraneo
040188_015212,04015_01525,40.175,15.2,172.7,-232.2,0.39865,0.1252,0.5252,mediterraneo
040188_015238,04015_01525,40.175,15.225,257.2,-147.7,0.18336,-0.2974,0.5941,mediterraneo
040188_015262,04015_01525,40.175,15.25,378.7,-26.2,0.30744,-0.1274,0.8027,mediterraneo
040188_015288,04015_01525,40.175,15.275,732.6,327.7,0.98649,0.1323,0.9046,appenninico
040188_015312,04015_01535,40.175,15.3,925.6,383.1,0.90476,-0.0664,0.9796,appenninico
040188_015338,04015_01535,40.175,15.325,1099.9,557.4,0.95784,-0.2247,0.9629,appenninico
040188_015362,04015_01535,40.175,15.35,1231.7,689.2,0.86993,-0.2545,0.9017,appenninico
040188_015388,04015_01535,40.175,15.375,938.7,396.2,0.77381,-0.0628,0.9692,appenninico
040188_015412,04015_01545,40.175,15.4,516.2,208.0,0.77119,0.0467,0.8202,mediterraneo
040188_015438,04015_01545,40.175,15.425,357.8,49.6,0.25169,-0.5274,0.7509,mediterraneo
040188_015462,04015_01545,40.175,15.45,645.1,336.9,0.60477,-0.6857,0.7724,appenninico
040188_015488,04015_01545,40.175,15.475,589.7,281.5,0.68235,-0.6499,0.8567,mediterraneo
040188_015512,04015_01555,40.175,15.5,347.4,-17.7,0.60102,-0.5293,0.7614,mediterraneo
040188_015538,04015_01555,40.175,15.525,431.0,65.9,0.38111,-0.2714,0.8508,mediterraneo
040188_015562,04015_01555,40.175,15.55,412.3,47.2,0.47708,-0.2182,0.8372,mediterraneo
040188_015588,04015_01555,40.175,15.575,677.2,312.1,0.4596,-0.4592,0.8124,appenninico
040188_015612,04015_01565,40.175,15.6,818.5,77.5,0.33277,-0.3436,0.9201,appenninico
040188_015638,04015_01565,40.175,15.625,799.7,58.7,0.47288,-0.4241,0.9317,appenninico
040188_015662,04015_01565,40.175,15.65,909.0,168.0,0.75885,-0.3569,0.9777,appenninico
040188_015688,04015_01565,40.175,15.675,825.8,84.8,0.76531,0.1358,0.9596,appenninico
040188_015712,04015_01575,40.175,15.7,670.6,-202.2,0.59328,-0.0371,0.9284,appenninico
040188_015738,04015_01575,40.175,15.725,886.6,13.8,0.6,0.2706,0.9755,appenninico
040188_015762,04015_01575,40.175,15.75,927.1,54.3,0.65365,0.1043,0.9649,appenninico
040188_015788,04015_01575,40.175,15.775,1122.7,249.9,0.22054,-0.1403,0.9571,appenninico
040188_015812,04015_01585,40.175,15.8,1194.6,-26.8,0.63051,0.0604,0.8916,appenninico
040188_015838,04015_01585,40.175,15.825,1248.9,27.5,0.5312,0.1502,0.8314,appenninico
040188_015862,04015_01585,40.175,15.85,1102.2,-119.2,0.51179,0.0909,0.9408,appenninico
040188_015888,04015_01585,40.175,15.875,880.7,-340.7,0.63265,0.1797,0.9663,appenninico
040188_015912,04015_01595,40.175,15.9,1020.4,-87.9,0.58206,-0.0805,0.9986,appenninico
040188_015938,04015_01595,40.175,15.925,1165.4,57.1,0.43074,-0.0343,0.9457,appenninico
040188_015962,04015_01595,40.175,15.95,1167.8,59.5,0.18782,-0.2468,0.9575,appenninico
040188_015988,04015_01595,40.175,15.975,1449.2,340.9,0.11506,-0.3616,0.7623,appenninico
040188_016012,04015_01605,40.175,16.0,1006.1,106.3,0.3598,-0.5493,0.9862,appenninico
040188_016038,04015_01605,40.175,16.025,837.2,-62.6,0.88115,-0.3338,0.9662,appenninico
040188_016062,04015_01605,40.175,16.05,738.7,-161.1,0.27411,-0.2615,0.8901,appenninico
040188_016087,04015_01605,40.175,16.075,682.5,-217.3,0.38721,-0.1625,0.8561,appenninico
040188_016112,04015_01615,40.175,16.1,585.0,-82.6,0.37797,0.2168,0.8684,mediterraneo
040188_016138,04015_01615,40.175,16.125,800.7,133.1,0.83729,-0.0251,0.95,appenninico
040188_016163,04015_01615,40.175,16.15,810.1,142.5,0.55236,-0.2033,0.95,appenninico
040188_016188,04015_01615,40.175,16.175,671.4,3.8,0.45101,-0.3474,0.8756,appenninico
040188_016238,04015_01625,40.175,16.225,571.3,142.7,0.20678,0.25,0.8701,mediterraneo
040188_016362,04015_01635,40.175,16.35,271.4,-40.3,0.11337,-0.2647,0.6144,mediterraneo
040188_016388,04015_01635,40.175,16.375,299.0,-12.7,0.12458,-0.3917,0.5286,mediterraneo
040212_008612,04025_00865,40.2,8.6,534.6,-32.0,0.44167,0.4367,0.8579,mediterraneo
040212_008638,04025_00865,40.2,8.625,628.6,62.0,0.36913,0.5524,0.8668,appenninico
040212_008662,04025_00865,40.2,8.65,688.5,121.9,0.49214,0.5816,0.9433,appenninico
040212_008688,04025_00865,40.2,8.675,714.6,148.0,0.9082,-0.1139,0.9311,appenninico
040212_009112,04025_00915,40.2,9.1,367.2,-102.2,0.34975,0.2288,0.809,mediterraneo
040212_009162,04025_00915,40.2,9.15,646.9,177.5,0.22203,0.3215,0.8543,appenninico
040212_009188,04025_00915,40.2,9.175,770.6,301.2,0.21523,0.1753,0.9509,appenninico
040212_009212,04025_00925,40.2,9.2,785.7,163.4,0.665,0.413,0.954,appenninico
040212_009238,04025_00925,40.2,9.225,788.3,166.0,0.77163,0.5321,0.9543,appenninico
040212_009262,04025_00925,40.2,9.25,676.3,54.0,0.21886,0.4434,0.8797,appenninico
040212_009312,04025_00935,40.2,9.3,756.5,314.7,0.41639,0.3303,0.9489,appenninico
040212_009338,04025_00935,40.2,9.325,590.6,148.8,0.18482,0.5621,0.8737,mediterraneo
040212_009362,04025_00935,40.2,9.35,496.0,54.2,0.10517,0.2958,0.8561,mediterraneo
040212_009388,04025_00935,40.2,9.375,540.5,98.7,0.1532,0.1959,0.855,mediterraneo
040212_009412,04025_00945,40.2,9.4,587.7,-6.8,0.38529,-0.0158,0.777,mediterraneo
040212_009438,04025_00945,40.2,9.425,849.7,255.2,0.88965,-0.0773,0.9585,appenninico
040212_009462,04025_00945,40.2,9.45,942.2,347.7,0.40976,0.3051,0.9821,appenninico
040212_009512,04025_00955,40.2,9.5,521.5,109.3,0.47565,0.2344,0.7556,mediterraneo
040212_009538,04025_00955,40.2,9.525,527.7,115.5,0.80247,0.3957,0.8532,mediterraneo
040212_009562,04025_00955,40.2,9.55,730.9,318.7,0.42504,-0.243,0.9088,appenninico
040212_009588,04025_00955,40.2,9.575,388.3,-23.9,0.29293,-0.1604,0.7483,mediterraneo
040212_015038,04025_01505,40.2,15.025,331.2,-85.5,0.19562,-0.1292,0.7373,mediterraneo
040212_015062,04025_01505,40.2,15.05,412.3,-4.4,0.17347,-0.3465,0.7956,mediterraneo
040212_015088,04025_01505,40.2,15.075,337.1,-79.6,0.52203,-0.2468,0.7328,mediterraneo
040212_015112,04025_01515,40.2,15.1,207.6,51.1,0.29243,-0.2614,0.6082,mediterraneo
040212_015138,04025_01515,40.2,15.125,118.5,-38.0,0.26153,-0.2227,0.4552,mediterraneo
040212_015188,04025_01515,40.2,15.175,107.5,-49.0,0.12712,-0.2066,0.55,mediterraneo
040212_015212,04025_01525,40.2,15.2,146.7,-297.8,0.20339,-0.0036,0.4836,mediterraneo
040212_015238,04025_01525,40.2,15.225,256.6,-187.9,0.40102,0.2513,0.6473,mediterraneo
040212_015262,04025_01525,40.2,15.25,434.0,-10.5,0.51096,-0.0107,0.8308,mediterraneo
040212_015288,04025_01525,40.2,15.275,611.9,167.4,0.65247,-0.031,0.7635,appenninico
040212_015312,04025_01535,40.2,15.3,986.2,21.0,0.85329,-0.0828,0.902,appenninico
040212_015338,04025_01535,40.2,15.325,1327.6,362.4,0.82095,-0.1714,0.8576,appenninico
040212_015362,04025_01535,40.2,15.35,1050.8,85.6,0.97449,0.3238,0.9508,appenninico
040212_015388,04025_01535,40.2,15.375,732.3,-232.9,0.76988,0.2535,0.9086,appenninico
040212_015412,04025_01545,40.2,15.4,476.9,-571.6,0.84992,-0.0909,0.8523,mediterraneo
040212_015438,04025_01545,40.2,15.425,583.7,-464.8,0.62245,-0.1793,0.8678,mediterraneo
040212_015462,04025_01545,40.2,15.45,1067.9,19.4,0.97128,-0.1268,0.9462,appenninico
040212_015488,04025_01545,40.2,15.475,989.7,-58.8,1.0,-0.1551,0.9613,appenninico
040212_015512,04025_01555,40.2,15.5,663.5,-158.0,0.80068,-0.1881,0.8397,appenninico
040212_015538,04025_01555,40.2,15.525,602.1,-219.4,0.92712,0.0519,0.7843,appenninico
040212_015562,04025_01555,40.2,15.55,482.4,-339.1,0.6543,-0.0347,0.8579,mediterraneo
040212_015588,04025_01555,40.2,15.575,757.1,-64.4,0.91171,0.0514,0.9251,appenninico
040212_015612,04025_01565,40.2,15.6,957.4,308.4,0.60508,-0.0608,0.9888,appenninico
040212_015638,04025_01565,40.2,15.625,975.5,326.5,0.70658,0.2295,0.9829,appenninico
040212_015662,04025_01565,40.2,15.65,767.0,118.0,0.64686,0.3427,0.9307,appenninico
040212_015688,04025_01565,40.2,15.675,654.6,5.6,0.4199,-0.0214,0.8045,appenninico
040212_015712,04025_01575,40.2,15.7,770.7,-164.1,0.43221,-0.3156,0.9375,appenninico
040212_015738,04025_01575,40.2,15.725,874.3,-60.5,0.78645,-0.4677,0.9617,appenninico
040212_015762,04025_01575,40.2,15.75,978.9,44.1,0.55574,-0.1835,0.9889,appenninico
040212_015788,04025_01575,40.2,15.775,1071.1,136.3,0.53571,0.2538,0.9963,appenninico
