cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
037112_014412,37.1125,14.4125,1.0,0.19771,0.00817,0.0,0.0,0.0,0.0098,0.0,612,126,0.20588
037112_014438,37.1125,14.4375,1.0,0.30337,0.0,0.0,0.0,0.0,0.10112,0.0,623,189,0.30337
037112_014462,37.1125,14.4625,1.0,0.09121,0.0,0.25896,0.0,0.0,0.11889,0.0,614,215,0.35017
037112_014488,37.1125,14.4875,1.0,0.15008,0.0,0.13214,0.0,0.0,0.11256,0.0,613,173,0.28222
037112_014512,37.1125,14.5125,1.0,0.26164,0.0,0.22151,0.0,0.0,0.0,0.0,623,301,0.48315
037112_014538,37.1125,14.5375,1.0,0.51792,0.0,0.0,0.00326,0.0,0.0,0.0,614,318,0.51792
037112_014562,37.1125,14.5625,1.0,0.12561,0.0,0.0,0.0,0.0,0.0,0.0,613,77,0.12561
037112_014588,37.1125,14.5875,1.0,0.00483,0.0,0.0,0.0,0.0,0.0,0.0,621,3,0.00483
037112_014712,37.1125,14.7125,1.0,0.0,0.66019,0.0,0.06311,0.0,0.08414,0.02751,618,408,0.66019
037112_014738,37.1125,14.7375,1.0,0.0,0.30968,0.0,0.0,0.0,0.0,0.05161,620,192,0.30968
037112_014762,37.1125,14.7625,1.0,0.0,0.0768,0.0,0.0,0.0,0.0,0.0,612,47,0.0768
037112_014788,37.1125,14.7875,1.0,0.0,0.0,0.0,0.0,0.0,0.06634,0.0,618,0,0.0
037112_014812,37.1125,14.8125,1.0,0.0,0.23987,0.04862,0.03404,0.0,0.02917,0.0,617,178,0.28849
037112_014838,37.1125,14.8375,1.0,0.0,0.24346,0.24346,0.40196,0.0,0.0,0.0,612,298,0.48692
037112_014862,37.1125,14.8625,1.0,0.00321,0.30658,0.0,0.13323,0.0,0.0,0.07384,623,193,0.30979
037112_014888,37.1125,14.8875,1.0,0.0,0.06547,0.0,0.0,0.0,0.06383,0.0,611,40,0.06547
037112_014912,37.1125,14.9125,1.0,0.0,0.0,0.0,0.0,0.0,0.20194,0.0,619,0,0.0
037112_014938,37.1125,14.9375,1.0,0.0,0.0,0.0,0.0,0.0,0.27229,0.0,617,0,0.0
037112_014962,37.1125,14.9625,1.0,0.16612,0.0,0.0,0.0,0.0,0.06189,0.0,614,102,0.16612
037112_014988,37.1125,14.9875,1.0,0.72654,0.0,0.0,0.0,0.0,0.07605,0.0,618,449,0.72654
037112_015012,37.1125,15.0125,1.0,0.24026,0.0,0.0,0.0,0.0,0.00812,0.0,616,148,0.24026
037112_015038,37.1125,15.0375,1.0,0.19611,0.0,0.0,0.0,0.0,0.00162,0.0,617,121,0.19611
037112_015062,37.1125,15.0625,1.0,0.11707,0.0,0.0,0.0,0.0,0.17398,0.0,615,72,0.11707
037112_015088,37.1125,15.0875,1.0,0.06119,0.0,0.0,0.02415,0.0,0.03865,0.0,621,38,0.06119
037138_014412,37.1375,14.4125,1.0,0.00161,0.0,0.0,0.0,0.0,0.0,0.0,620,1,0.00161
037138_014438,37.1375,14.4375,1.0,0.17213,0.0,0.0,0.0,0.0,0.0,0.0,610,105,0.17213
037138_014462,37.1375,14.4625,1.0,0.21163,0.0,0.0,0.0,0.0,0.0,0.02908,619,131,0.21163
037138_014488,37.1375,14.4875,1.0,0.03554,0.0,0.03231,0.0,0.0,0.06462,0.00969,619,42,0.06785
037138_014512,37.1375,14.5125,1.0,0.0049,0.0,0.36438,0.0,0.0,0.13399,0.0,612,226,0.36928
037138_014538,37.1375,14.5375,1.0,0.08078,0.0,0.52504,0.02585,0.0,0.063,0.0,619,375,0.60582
037138_014562,37.1375,14.5625,1.0,0.20065,0.0,0.00971,0.04854,0.0,0.0,0.0,618,130,0.21036
037138_014588,37.1375,14.5875,1.0,0.01307,0.0,0.0,0.0,0.0,0.0,0.0,612,8,0.01307
037138_014712,37.1375,14.7125,1.0,0.0,0.0065,0.0,0.02602,0.0,0.65203,0.00163,615,4,0.0065
037138_014738,37.1375,14.7375,1.0,0.0,0.14169,0.0,0.14984,0.0,0.20847,0.18893,614,87,0.14169
037138_014762,37.1375,14.7625,1.0,0.0,0.03215,0.0,0.0,0.0,0.0,0.0,622,20,0.03215
