cell_id,lat,lon,land_frac,clc_311_latifoglie,clc_312_conifere,clc_313_misto,clc_321_praterie,clc_322_brughiere,clc_323_sclerofille,clc_324_transizione,clc_px_validi,bosco_ha,bosco_frac
03735_01485,37.35,14.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9834,0,0.0
03735_01495,37.35,14.95,1.0,0.0,0.0,0.0,0.01759,0.0,0.0,0.0,9834,0,0.0
03735_01505,37.35,15.05,0.9373,0.0,0.0,0.00732,0.02207,0.0,0.00824,0.0,9832,72,0.00732
03745_01315,37.45,13.15,0.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9822,0,0.0
03745_01325,37.45,13.25,0.7266,0.0,0.0,0.00774,0.00743,0.0,0.00265,0.0,9820,76,0.00774
03745_01335,37.45,13.35,1.0,0.0113,0.00682,0.07383,0.02179,0.0,0.02505,0.00448,9820,903,0.09195
03745_01345,37.45,13.45,1.0,0.00896,0.02067,0.05479,0.01996,0.0,0.16833,0.0,9820,829,0.08442
03745_01355,37.45,13.55,1.0,0.01731,0.0,0.00092,0.03798,0.0,0.06282,0.0,9822,179,0.01823
03745_01365,37.45,13.65,1.0,0.04024,0.04971,0.00265,0.01446,0.0,0.01722,0.0,9817,909,0.0926
03745_01375,37.45,13.75,1.0,0.02067,0.0,0.0,0.07818,0.0,0.01161,0.0,9823,203,0.02067
03745_01385,37.45,13.85,1.0,0.0171,0.00509,0.0,0.00214,0.0,0.0167,0.0,9822,218,0.02219
03745_01395,37.45,13.95,1.0,0.0,0.00621,0.0,0.0,0.0,0.0,0.0,9820,61,0.00621
03745_01405,37.45,14.05,1.0,0.04316,0.0,0.0,0.00478,0.0,0.0283,0.0,9823,424,0.04316
03745_01415,37.45,14.15,1.0,0.07831,0.01853,0.0,0.0109,0.0,0.03198,0.0,9820,951,0.09684
03745_01425,37.45,14.25,1.0,0.06874,0.01456,0.0,0.03615,0.0,0.02322,0.0,9820,818,0.0833
03745_01435,37.45,14.35,1.0,0.08196,0.35868,0.01833,0.02678,0.0,0.02667,0.00723,9822,4508,0.45897
03745_01445,37.45,14.45,1.0,0.20711,0.01904,0.03788,0.01273,0.0,0.0337,0.00804,9821,2593,0.26403
03745_01455,37.45,14.55,1.0,0.09786,0.0,0.0,0.0,0.0,0.0,0.0,9820,961,0.09786
03745_01465,37.45,14.65,1.0,0.00031,0.0,0.0,0.00387,0.0,0.00489,0.0,9818,3,0.00031
03745_01475,37.45,14.75,1.0,0.0,0.0,0.0,0.00896,0.0,0.0,0.0,9820,0,0.0
03745_01485,37.45,14.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9820,0,0.0
03745_01495,37.45,14.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9820,0,0.0
03745_01505,37.45,15.05,0.8859,0.00275,0.0,0.0,0.0,0.0,0.01629,0.0,9820,27,0.00275
03755_01265,37.55,12.65,0.1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9806,0,0.0
03755_01275,37.55,12.75,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9807,0,0.0
03755_01285,37.55,12.85,0.1916,0.0,0.0,0.0,0.0,0.0,0.01193,0.0,9808,0,0.0
03755_01295,37.55,12.95,0.3717,0.0,0.0,0.0,0.0,0.0,0.00173,0.0,9809,0,0.0
03755_01305,37.55,13.05,0.9531,0.00326,0.0,0.0,0.0,0.0,0.00153,0.0,9808,32,0.00326
03755_01315,37.55,13.15,0.9995,0.0263,0.02029,0.0,0.00907,0.0,0.00275,0.0,9809,457,0.04659
03755_01325,37.55,13.25,1.0,0.0,0.00061,0.0,0.0,0.0,0.01692,0.0,9808,6,0.00061
03755_01335,37.55,13.35,1.0,0.01336,0.0101,0.0,0.0,0.0,0.02019,0.0,9806,230,0.02346
03755_01345,37.55,13.45,1.0,0.0,0.01428,0.0,0.0,0.0,0.04396,0.0,9805,140,0.01428
03755_01355,37.55,13.55,1.0,0.03181,0.02386,0.01652,0.06086,0.0,0.16577,0.01835,9809,708,0.07219
03755_01365,37.55,13.65,1.0,0.00418,0.00194,0.01101,0.09053,0.0,0.10021,0.0,9809,168,0.01713
03755_01375,37.55,13.75,1.0,0.03579,0.00857,0.0,0.12411,0.0,0.00388,0.0,9806,435,0.04436
03755_01385,37.55,13.85,1.0,0.12327,0.02916,0.0,0.00581,0.0,0.00153,0.0,9808,1495,0.15243
03755_01395,37.55,13.95,1.0,0.21972,0.08554,0.0,0.02447,0.0,0.00877,0.00704,9808,2994,0.30526
03755_01405,37.55,14.05,1.0,0.05201,0.00479,0.0,0.05069,0.0,0.0001,0.0,9805,557,0.0568
03755_01415,37.55,14.15,1.0,0.09982,0.09023,0.0,0.10899,0.0,0.04578,0.0,9808,1864,0.19005
03755_01425,37.55,14.25,1.0,0.0257,0.00765,0.0,0.08372,0.0,0.07505,0.02182,9807,327,0.03335
03755_01435,37.55,14.35,1.0,0.0051,0.01764,0.00836,0.00439,0.0,0.00173,0.0,9806,305,0.0311
03755_01445,37.55,14.45,1.0,0.00224,0.0,0.0,0.01091,0.0,0.00602,0.0,9808,22,0.00224
03755_01455,37.55,14.55,1.0,0.0,0.0,0.00938,0.0,0.0,0.04118,0.0,9810,92,0.00938
03755_01465,37.55,14.65,1.0,0.02009,0.0,0.0,0.0,0.0,0.01917,0.0,9806,197,0.02009
03755_01475,37.55,14.75,1.0,0.0,0.00377,0.0,0.01132,0.0,0.00622,0.0,9808,37,0.00377
03755_01485,37.55,14.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9807,0,0.0
03755_01495,37.55,14.95,1.0,0.00153,0.0,0.0,0.0,0.0,0.03028,0.0,9807,15,0.00153
03755_01505,37.55,15.05,0.9993,0.0,0.0,0.0,0.0,0.0,0.05789,0.0,9811,0,0.0
03755_01515,37.55,15.15,0.4315,0.00693,0.0,0.0,0.0,0.0,0.00928,0.0,9807,68,0.00693
03765_01255,37.65,12.55,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9796,0,0.0
